Date,Returns,w_SP500,w_c1,w_c2,w_c3,w_c4,w_RFR
2017-03-17,2.799663981001288e-05,0.0,0.5,0.5,0.0,0.0,0.0
2017-03-20,-0.03789525617047135,0.0,0.5,0.5,0.0,0.0,0.0
2017-03-21,0.12314665521028217,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-22,2.9572514738562816e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-23,2.9572514738562816e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-24,2.9572514738562816e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-27,2.9966386097646236e-05,0.0,0.5,0.5,0.0,0.0,0.0
2017-03-28,-0.02538843324769874,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-29,2.9848228778162067e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-30,2.9966386097646236e-05,0.0,0.5,0.5,0.0,0.0,0.0
2017-03-31,0.04195723221567582,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-03,-0.08091587748635731,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-04,-0.06647594010352725,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-05,0.07475736565774627,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-06,-0.055007995759709105,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-07,0.014513133161882685,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-10,0.01183847691282136,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-11,0.05830519513163668,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-12,0.03188272677890963,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-13,-0.004442335179432322,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-17,-0.09956161632510507,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-18,-0.03437853284949588,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-19,0.014795124697361606,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-20,-0.03146138047994396,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-21,0.01601855586509615,0.0,0.5,0.5,0.0,0.0,0.0
2017-04-24,-0.24259548844483148,0.0,0.5,0.5,0.0,0.0,0.0
