Date,Returns,w_SP500,w_c1,w_c2,w_c3,w_c4,w_RFR
2017-03-17,2.799663981001288e-05,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-20,-0.19220144738813272,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-21,-0.3681430572260085,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-22,0.15001479448996013,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-23,-0.03588591382731254,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-24,-0.1401198296063474,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-27,-0.33892897202665795,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-28,0.11976654189946467,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-29,-0.03611909861478391,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-30,0.18716562965414973,0.0,0.0,0.0,0.0,1.0,0.0
2017-03-31,-0.0034867002050833484,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-03,-0.33701701076625623,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-04,-0.14273308486424074,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-05,0.00440444943922258,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-06,-0.05841574349064582,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-07,-0.010184438796216333,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-10,0.070649345070255,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-11,0.06864855519515967,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-12,-0.06058120252352783,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-13,-0.21738166597426234,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-17,-0.021377797902914053,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-18,-0.18241339473476037,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-19,-0.02814150424977291,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-20,0.16464281664482394,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-21,-0.09313791013050521,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-24,-0.2648539867471622,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-25,0.36394939657389624,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-26,-0.05521195235945742,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-27,-0.10252372692542056,0.0,0.0,0.0,0.0,1.0,0.0
2017-04-28,-0.08110954161979089,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-01,-0.18790639412267418,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-02,0.17435312190960084,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-03,-0.10175145595240853,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-04,-0.07232565081126108,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-05,0.2782914839002264,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-08,-0.3183025073976071,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-09,-0.08654790215889685,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-10,0.09533625397638001,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-11,-0.1252442017030898,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-12,-0.2364591250390531,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-15,0.17610358690572547,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-16,-0.024890433189809213,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-17,0.06639040032678123,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-18,-0.05898741014572029,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-19,-0.23861315654828674,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-22,-0.12388435173532653,0.0,0.0,0.0,0.0,0.0,1.0
2017-05-23,3.606641826792156e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-05-24,3.575180637271913e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-05-25,3.5869788744591347e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-05-26,3.594844171850298e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-05-30,3.594844171850298e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-05-31,3.752117521416132e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-01,3.74425532823075e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-02,3.763910520326874e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-05,3.74425532823075e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-06,3.783564742820822e-05,0.0,0.0,0.0,0.0,0.0,1.0
